SeniorCitizen,Partner,Dependents,tenure,MultipleLines,InternetService,OnlineSecurity,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,customerID,Churn_Prob,VaR,CLV,Segment,Strategy,Action,Timing
0,No,No,3,No,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,89.85,7952-OBOYL,0.7032488751917572,63.186911435979376,269.54999999999995,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,26,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.35,4735-ASGMA,0.6628671251003612,65.19298175362051,2557.1,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,21,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.35,5956-YHHRX,0.6628671251003612,69.17018450422269,2191.35,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),85.7,3916-NRPAP,0.7134306988470771,61.14101089119451,257.1,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,9,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,6969-MVBAI,0.7206532511231685,64.93085792619748,810.9,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,23,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.5,2985-FMWYF,0.661967531203611,61.893964167537625,2150.5,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,Yes,No,6,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.75,8622-ZLFKO,0.7127733782685235,64.68418407786851,544.5,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,7,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,96.2,4060-LDNLU,0.7199203234492499,69.25633511581785,673.4,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,10,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,4112-LUEIZ,0.7020535233359533,62.833790338567816,895.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,Yes,No,3,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.9,7398-SKNQZ,0.860405444594021,81.6524766919726,284.70000000000005,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,Yes,No,6,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,4587-VVTOX,0.763050728217652,80.34924168131874,631.8,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,2,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,1143-NMNQJ,0.8651222909087097,74.14098033087643,171.4,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,3,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.0,8258-GSTJK,0.8322555981496038,64.0836810575195,231.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,1,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,4415-IJZTP,0.8322555981496038,62.00304206214548,74.5,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,4,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.8,5419-CONWX,0.6245507362041947,62.33016347317862,399.2,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,Yes,Yes,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.45,7181-BQYBV,0.8151937620717158,83.51660092424729,102.45,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,13,Yes,Fiber optic,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.65,6821-BUXUX,0.6375335174104059,61.61761445771573,1256.45,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,Yes,No,17,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.55,0365-BZUWY,0.6549239348612189,67.162449520018,1743.35,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,8,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.05,6979-ZNSFF,0.7198472074430287,62.662699407915646,696.4,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,Yes,No,7,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,6861-XWTWQ,0.763050728217652,75.73278477560196,694.75,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,8593-WHYHV,0.8651222909087097,73.79493141451294,255.89999999999998,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,2,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,4234-XTNEA,0.8194196206889309,65.51259867408002,159.9,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,14,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.85,9221-OTIVJ,0.7319182661287934,76.74163020360399,1467.8999999999999,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,1,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.65,6857-VWJDT,0.8156350794310736,78.01549534758219,95.65,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,Yes,No,17,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.55,7668-XCFYV,0.6540243409644688,60.529952756261586,1573.35,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,10,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.9,7209-JCUDS,0.7029069301928216,66.70586767529878,949.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,2,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,4713-LZDRV,0.8200184772198243,65.27347078669801,159.2,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,Yes,No,7,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,0187-QSXOE,0.6946389980118265,61.82287082305256,623.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,10,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,9851-KIELU,0.5484834981050255,60.3880331413633,1101.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,Yes,Yes,3,No,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.7,3191-CSNMG,0.7797531079590052,62.92607581229172,242.10000000000002,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,1,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.15,2609-IAICY,0.8322555981496038,64.20851939724194,77.15,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,1,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,5167-ZFFMM,0.8191113017522588,74.41626176419271,90.85,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,2,No,Fiber optic,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.55,2737-YNGYW,0.7789352260217098,62.74323245604872,161.1,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,Yes,2,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.2,3006-XIMLN,0.8190217683834623,77.15185058172216,188.4,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,6023-YEBUP,0.8922249841122524,90.07011214613188,302.85,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,34,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,5380-WJKOV,0.6076335196314753,64.62182481280739,3615.8999999999996,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,No,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Electronic check,83.75,0923-PNFUB,0.7785801889922213,65.20609082809852,251.25,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,9057-SIHCH,0.8917994564331672,86.14782749144395,289.79999999999995,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,1,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.35,3722-WPXTK,0.8541155793344395,75.46111143419772,88.35,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,37,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,1666-JXLKU,0.6076335196314753,60.7937336391291,3701.85,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.45,9611-CTWIH,0.8541155793344395,76.40063857146562,268.35,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,7,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,0655-RBDUG,0.6938473077336896,68.03172852328827,686.35,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,13,Yes,Fiber optic,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.0,2025-JKFWI,0.6326801384915964,62.63533371066805,1287.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,9,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,5698-BQJOH,0.7199203234492499,67.9604785336092,849.6,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,1,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,1069-XAIEM,0.8651222909087097,73.57865084178576,85.05,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,5052-PNLOS,0.8489362433755392,89.43543323961305,316.04999999999995,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,33,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.0,8709-KRDVL,0.6066799179619001,60.667991796190016,3300.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,Yes,No,1,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,5178-LMXOP,0.888245051494785,84.47210439715406,95.1,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,Yes,No,2,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,86.85,3097-NQYSN,0.8104740798590033,70.38967383575444,173.7,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,2,No,Fiber optic,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.0,7198-GLXTC,0.7785801889922213,61.50783493038548,158.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,95.4,2984-AFWNC,0.8193584356476704,78.16679476078777,286.20000000000005,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,4,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,2865-TCHJW,0.7206532511231685,64.28227000018663,356.8,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,30,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,4817-VYYWS,0.6066799179619001,60.7893277797824,3006.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,1,No,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.55,0235-KGSLC,0.7630852425149002,65.28194249714971,85.55,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,7,No,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.15,4115-NZRKS,0.7020535233359533,62.58807160540024,624.0500000000001,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,No,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.0,6956-SMUCM,0.7395321531794754,73.21368316476807,297.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,Yes,1,Yes,Fiber optic,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.3,6521-YYTYI,0.8696786039646236,81.14101374989939,93.3,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,Yes,No,24,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.25,6892-XPFPU,0.6549239348612189,68.27582020928207,2502.0,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,2,No,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.95,9878-TNQGW,0.8200184772198243,66.38049573094479,161.9,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,11,Yes,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.75,4078-SAYYN,0.7694146802867924,77.51852903889433,1108.25,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,2,No,Fiber optic,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.15,5091-HFAZW,0.7562423644735579,68.9314915217648,182.3,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
0,No,No,3,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1320-HTRDR,0.8322555981496038,62.83529766029509,226.5,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,No,No,4,Yes,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,4750-ZRXIU,0.7200234107978267,60.91398055349614,338.4,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
1,Yes,No,6,No,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.75,3319-DWOEP,0.6954924048686947,66.59339776617752,574.5,High-Value/Critical,Concierge Save,Offer 2-Year Contract + Fiber Discount,Immediate
